X,Y,Lote,Rto,N,Z
416144.591845604,6304650.67702568,LP08,10041.383,440,2
416146.135692402,6304650.69039897,LP08,10604.468,440,2
416147.679635235,6304650.69268475,LP08,10664.468,440,2
416149.242178627,6304650.6951314,LP08,11130.851,440,2
416150.767424848,6304650.70834283,LP08,11032.128,440,2
416152.376373603,6304650.72227902,LP08,10719.468,440,2
416154.078613268,6304650.7037587,LP08,9705.957,440,2
416155.780756888,6304650.69632534,LP08,10841.277,440,2
416157.473312133,6304650.7220729,LP08,10514.043,440,2
416159.165963404,6304650.73673291,LP08,10916.596,440,2
416160.849218366,6304650.76239934,LP08,11453.936,440,2
416162.541869632,6304650.77705876,LP08,11182.021,440,2
416164.346220295,6304650.78159715,LP08,10621.064,440,2
416166.243573764,6304650.78694062,LP08,9536.915,440,2
416168.168828071,6304650.79252535,LP08,9809.362,440,2
416170.084974113,6304650.77585463,LP08,9904.255,440,2
416172.019528679,6304650.78151913,LP08,9747.872,440,2
416173.954179245,6304650.77609598,LP08,9810,440,2
416175.87943351,6304650.78167917,LP08,9694.787,440,2
416177.804687766,6304650.78726197,LP08,9799.149,440,2
416179.711245449,6304650.8037706,LP08,10065.532,440,2
416181.617995126,6304650.79810433,LP08,9781.17,440,2
416183.533853077,6304650.81469273,LP08,10798.936,440,2
416185.449807019,6304650.82019349,LP08,10324.894,440,2
416187.365760953,6304650.82569387,LP08,11255.745,440,2
416189.281618887,6304650.84228113,LP08,10170.957,440,2
416191.188176534,6304650.85878749,LP08,11130.638,440,2
416193.10403446,6304650.875374,LP08,10176.064,440,2
416195.010688084,6304650.88079235,LP08,11053.191,440,2
416196.926737962,6304650.87520358,LP08,10285.851,440,2
416198.824091286,6304650.88054067,LP08,11255.106,440,2
416200.740141141,6304650.87495114,LP08,10453.085,440,2
416202.637494445,6304650.88028749,LP08,11055.532,440,2
416204.56265261,6304650.89695223,LP08,9973.511,440,2
416206.4600059,6304650.90228782,LP08,10695.319,440,2
416208.366563491,6304650.9187908,LP08,9736.383,440,2
416210.273217047,6304650.92420615,LP08,10940.319,440,2
416212.179774629,6304650.94070837,LP08,10293.617,440,2
416214.095728448,6304650.94620346,LP08,11221.383,440,2
416216.011682261,6304650.95169818,LP08,11065.957,440,2
416217.899735221,6304650.95695103,LP08,11265.426,440,2
416219.80629278,6304650.97345176,LP08,10718.617,440,2
416221.703646006,6304650.97878436,LP08,11032.234,440,2
416223.619599786,6304650.98427757,LP08,10455.638,440,2
416225.516857047,6304651.00069668,LP08,11424.043,440,2
416227.442207039,6304650.99518236,LP08,10393.83,440,2
416229.348860512,6304651.00059395,LP08,11008.83,440,2
416231.246213696,6304651.00592468,LP08,10837.766,440,2
416233.152867152,6304651.01133552,LP08,10964.787,440,2
416235.068820879,6304651.01682646,LP08,11027.021,440,2
416236.9660781,6304651.03324333,LP08,10650.532,440,2
416238.882223681,6304651.016559,LP08,10832.66,440,2
416240.779576821,6304651.02188787,LP08,10804.149,440,2
416242.686134301,6304651.03838409,LP08,11032.234,440,2
416244.592691777,6304651.05487993,LP08,10742.872,440,2
416246.508645456,6304651.0603686,LP08,11250.638,440,2
416248.415202922,6304651.0768637,LP08,11078.83,440,2
416250.321952225,6304651.0711839,LP08,11221.383,440,2
416252.228605597,6304651.07659098,LP08,10609.787,440,2
416254.14455924,6304651.08207814,LP08,10799.255,440,2
416256.060608789,6304651.07647767,LP08,10476.17,440,2
416257.96716622,6304651.09297088,LP08,11164.362,440,2
416259.873819557,6304651.09837646,LP08,10465.957,440,2
416261.771172605,6304651.10370121,LP08,10887.34,440,2
416263.66842974,6304651.12011284,LP08,10972.553,440,2
416265.584287429,6304651.136685,LP08,11209.574,440,2
416267.462943995,6304651.152935,LP08,11038.404,440,2
416269.369501396,6304651.16942596,LP08,11459.787,440,2
416271.266854411,6304651.17474885,LP08,11220.851,440,1
416273.155003031,6304651.16890367,LP08,11366.489,440,1
416275.070860693,6304651.18547395,LP08,10982.979,440,1
416276.968213681,6304651.19079573,LP08,11262.872,440,1
416278.87496283,6304651.1851103,LP08,11172.128,440,1
416280.772124026,6304651.21260584,LP08,10954.468,440,1
416282.688077551,6304651.21808736,LP08,10483.83,440,1
416284.603935185,6304651.23465575,LP08,10922.447,440,1
416286.501479894,6304651.21780114,LP08,11006.277,440,1
416288.398928709,6304651.21203342,LP08,11176.489,440,1
416290.296185759,6304651.22843983,LP08,10651.277,440,1
416292.212043366,6304651.24500672,LP08,11060.851,440,1
416294.11879243,6304651.23931829,LP08,11231.702,440,1
416296.034745892,6304651.24479717,LP08,11145.532,440,1
416297.941399065,6304651.25019524,LP08,11001.064,440,1
416299.838656086,6304651.26659979,LP08,10521.702,440,1
416301.745309244,6304651.27199712,LP08,10837.766,440,1
