X,Y,ZM,TRATA,BLOQUE,Rto
383012.3959,6285446.463,AP,SPS+Zn,1,9911.48366
383016.5954,6285446.522,AP,SPS+Zn,1,9760.44002
383020.795,6285446.581,AP,SPS+Zn,1,10258.88403
383024.9946,6285446.641,AP,SPS+Zn,1,8609.48748
383029.1942,6285446.7,AP,SPS+Zn,1,9766.48176
383033.3938,6285446.76,AP,SPS+Zn,1,10181.86367
383037.5933,6285446.819,AP,SPS+Zn,1,12072.40674
383041.7929,6285446.878,AP,SPS+Zn,1,10021.75741
383045.9925,6285446.938,AP,SPS+Zn,1,9697.00169
383050.1921,6285446.997,AP,SPS+Zn,1,9265.01688
383054.3917,6285447.056,AP,SPS+Zn,1,8851.1573
383058.5912,6285447.116,AP,SPS+Zn,1,8192.60703
383062.7908,6285447.175,AP,SPS+Zn,1,9585.22939
383066.9904,6285447.235,AP,SPS+Zn,1,9215.68388
383071.19,6285447.294,AP,SPS+Zn,1,13735.90862
383075.3896,6285447.353,AP,SPS+Zn,1,10348.01167
383079.5891,6285447.413,AP,SPS+Zn,1,11086.60318
383083.7887,6285447.472,AP,SPS+Zn,1,10186.38308
383087.9883,6285447.531,AP,SPS+Zn,1,10754.30717
383092.1879,6285447.591,AP,SPS+Zn,1,10445.17911
383096.3875,6285447.65,AP,SPS+Zn,1,9725.71187
383100.587,6285447.71,AP,SPS+Zn,1,12171.09651
383104.7866,6285447.769,AP,SPS+Zn,1,10269.46898
383108.9862,6285447.828,AP,SPS+Zn,1,10539.8252
383113.1858,6285447.888,AP,SPS+Zn,1,9520.29252
383117.3854,6285447.947,AP,SPS+Zn,1,8598.92632
383121.5849,6285448.006,AP,SPS+Zn,1,9677.87742
383125.7845,6285448.066,AP,SPS+Zn,1,9854.08707
383129.9841,6285448.125,AP,SPS+Zn,1,12143.90866
383134.1837,6285448.185,AP,SPS+Zn,1,11221.2342
383138.3833,6285448.244,AP,SPS+Zn,1,9351.21879
383142.5828,6285448.303,AP,SPS+Zn,1,9144.68148
383146.7824,6285448.363,AP,SPS+Zn,1,8315.72544
383150.982,6285448.422,AP,SPS+Zn,1,8674.90008
383155.1816,6285448.481,AP,SPS+Zn,1,11647.41513
383159.3812,6285448.541,AP,SPS+Zn,1,12769.72884
383163.5807,6285448.6,AP,SPS+Zn,1,9312.3756
383167.7803,6285448.66,AP,SPS+Zn,1,7411.84224
383171.9799,6285448.719,AP,SPS+Zn,1,7830.48288
383176.1795,6285448.778,AP,SPS+Zn,1,7806.69648
383180.3791,6285448.838,AP,SPS+Zn,1,8102.83716
383184.5786,6285448.897,AP,SPS+Zn,1,11022.61776
383188.7782,6285448.956,AP,SPS+Zn,1,9479.66535
383192.9778,6285449.016,AP,SPS+Zn,1,10417.25388
383197.1774,6285449.075,AP,SPS+Zn,1,9813.07932
383201.377,6285449.135,AP,SPS+Zn,1,9445.57944
383205.5765,6285449.194,AP,SPS+Zn,1,9514.56
383209.7761,6285449.253,AP,SPS+Zn,1,9503.85612
383213.9757,6285449.313,AP,SPS+Zn,1,9727.44828
383218.1753,6285449.372,AP,SPS+Zn,1,10324.89129
383222.3749,6285449.431,AP,SPS+Zn,1,8916.33204
383226.5745,6285449.491,AP,SPS+Zn,1,7769.82756
383230.774,6285449.55,AP,SPS+Zn,1,8643.97776
383234.9736,6285449.609,AP,SPS+Zn,1,9283.83192
383239.1732,6285449.669,AP,SPS+Zn,1,8952.01164
383243.3728,6285449.728,AP,SPS+Zn,1,9678.68616
383247.5724,6285449.788,AP,SPS+Zn,1,8829.51168
383251.7719,6285449.847,AP,SPS+Zn,1,9332.18967
383255.9715,6285449.906,AP,SPS+Zn,1,9995.04528
383260.1711,6285449.966,AP,SPS+Zn,1,8683.22532
383264.3707,6285450.025,AP,SPS+Zn,1,8969.85144
383268.5703,6285450.084,AP,SPS+Zn,1,8955.5796
383272.7698,6285450.144,AP,SPS+Zn,1,7703.22564
383276.9694,6285450.203,BP,SPS+Zn,1,8511.96324
383281.169,6285450.263,BP,SPS+Zn,1,7202.52192
383285.3686,6285450.322,BP,SPS+Zn,1,8865.19128
383289.5682,6285450.381,BP,SPS+Zn,1,8527.4244
383293.7677,6285450.441,BP,SPS+Zn,1,7354.75488
383297.9673,6285450.5,BP,SPS+Zn,1,6462.76488
383302.1669,6285450.559,BP,SPS+Zn,1,6921.8424
383306.3665,6285450.619,BP,SPS+Zn,1,6712.52208
383310.5661,6285450.678,BP,SPS+Zn,1,7973.20128
383314.7656,6285450.738,BP,SPS+Zn,1,7078.83264
383318.9652,6285450.797,BP,SPS+Zn,1,7008.66276
383323.1648,6285450.856,BP,SPS+Zn,1,7542.66744
383327.3644,6285450.916,BP,SPS+Zn,1,8168.24976
383331.564,6285450.975,BP,SPS+Zn,1,8113.54104
383335.7635,6285451.034,BP,SPS+Zn,1,8428.71084
383339.9631,6285451.094,BP,SPS+Zn,1,8432.2788
383344.1627,6285451.153,BP,SPS+Zn,1,7704.41496
383348.3623,6285451.213,BP,SPS+Zn,1,8156.35656
383352.5619,6285451.272,BP,SPS+Zn,1,8471.52636
383356.7614,6285451.331,BP,SPS+Zn,1,9821.40456
383360.961,6285451.391,BP,SPS+Zn,1,8149.22064
383365.1606,6285451.45,BP,SPS+Zn,1,10948.87992
383369.3602,6285451.509,BP,SPS+Zn,1,9080.4582
383373.5598,6285451.569,BP,SPS+Zn,1,8326.42932
383377.7593,6285451.628,BP,SPS+Zn,1,8074.29348
383381.9589,6285451.688,BP,SPS+Zn,1,7506.98784
383386.1585,6285451.747,BP,SPS+Zn,1,7038.39576
383390.3581,6285451.806,BP,SPS+Zn,1,7499.85192
383394.5577,6285451.866,BP,SPS+Zn,1,8565.48264
383398.7572,6285451.925,BP,SPS+Zn,1,7728.20136
383402.9568,6285451.984,BP,SPS+Zn,1,7478.44416
383407.1564,6285452.044,BP,SPS+Zn,1,7744.85184
383411.356,6285452.103,BP,SPS+Zn,1,8074.29348
383415.5556,6285452.163,BP,SPS+Zn,1,6755.3376
383419.7551,6285452.222,BP,SPS+Zn,1,8044.56048
383423.9547,6285452.281,BP,SPS+Zn,1,8481.04092
383428.1543,6285452.341,BP,SPS+Zn,1,7560.50724
383432.3539,6285452.4,BP,SPS+Zn,1,7913.73528
383436.5535,6285452.459,BP,SPS+Zn,1,7876.86636
383440.753,6285452.519,BP,SPS+Zn,1,7490.33736
383444.9526,6285452.578,BP,SPS+Zn,1,7541.07375
383449.1522,6285452.638,BP,SPS+Zn,1,8957.95824
383453.3518,6285452.697,BP,SPS+Zn,1,8971.04076
383457.5514,6285452.756,BP,SPS+Zn,1,7618.78392
383461.7509,6285452.816,BP,SPS+Zn,1,7878.05568
383465.9505,6285452.875,BP,SPS+Zn,1,8909.19612
383470.1501,6285452.934,BP,SPS+Zn,1,8686.00833
383474.3497,6285452.994,BP,SPS+Zn,1,7397.5704
383478.5493,6285453.053,BP,SPS+Zn,1,7403.517
383482.7488,6285453.113,BP,SPS+Zn,1,7045.53168
383486.9484,6285453.172,BP,SPS+Zn,1,7951.79352
383491.148,6285453.231,BP,SPS+Zn,1,6766.04148
383495.3476,6285453.291,BP,SPS+Zn,1,8752.20588
383499.5472,6285453.35,BP,SPS+Zn,1,7028.8812
383503.7468,6285453.409,BP,SPS+Zn,1,7763.88096
383012.4552,6285442.263,AP,SPS,1,3187.49075
383016.6548,6285442.322,AP,SPS,1,9658.02873
383020.8544,6285442.382,AP,SPS,1,9720.59546
383025.054,6285442.441,AP,SPS,1,8234.9199
383029.2536,6285442.501,AP,SPS,1,9184.7967
383033.4531,6285442.56,AP,SPS,1,9282.62832
383037.6527,6285442.619,AP,SPS,1,9774.06158
383041.8523,6285442.679,AP,SPS,1,8463.57288
383046.0519,6285442.738,AP,SPS,1,9260.62758
383050.2515,6285442.797,AP,SPS,1,9366.80902
383054.451,6285442.857,AP,SPS,1,9689.88089
383058.6506,6285442.916,AP,SPS,1,9737.65912
383062.8502,6285442.976,AP,SPS,1,10697.77411
383067.0498,6285443.035,AP,SPS,1,10960.5544
383071.2494,6285443.094,AP,SPS,1,10669.33468
383075.4489,6285443.154,AP,SPS,1,10551.02667
383079.6485,6285443.213,AP,SPS,1,10491.87267
383083.8481,6285443.272,AP,SPS,1,10496.42298
383088.0477,6285443.332,AP,SPS,1,11065.21148
383092.2473,6285443.391,AP,SPS,1,9763.82339
383096.4468,6285443.451,AP,SPS,1,8840.11087
383100.6464,6285443.51,AP,SPS,1,10040.2546
383104.846,6285443.569,AP,SPS,1,9667.12935
383109.0456,6285443.629,AP,SPS,1,8702.46405
383113.2452,6285443.688,AP,SPS,1,9801.36343
383117.4447,6285443.747,AP,SPS,1,9192.75974
383121.6443,6285443.807,AP,SPS,1,9910.57082
383125.8439,6285443.866,AP,SPS,1,10154.0123
383130.0435,6285443.926,AP,SPS,1,10258.66939
383134.2431,6285443.985,AP,SPS,1,10800.15604
383138.4426,6285444.044,AP,SPS,1,9719.45789
383142.6422,6285444.104,AP,SPS,1,12117.4702
383146.8418,6285444.163,AP,SPS,1,11714.76795
