"Campo"	"Muestra"	"x"	"y"	"N"	"C"
"B"	1	0	210	0.042	0.624
"B"	2	0	180	0.032	0.417
"B"	3	0	150	0.027	0.365
"B"	4	0	120	0.022	0.179
"B"	5	0	90	0.029	0.355
"B"	6	0	60	0.026	0.383
"B"	7	0	30	0.027	0.279
"B"	8	0	0	0.031	0.404
"B"	9	30	210	0.042	0.565
"B"	10	30	180	0.032	0.42
"B"	11	30	150	0.024	0.33
"B"	12	30	120	0.024	0.361
"B"	13	30	90	0.031	0.349
"B"	14	30	60	0.032	0.314
"B"	15	30	30	0.033	0.475
"B"	16	30	0	0.042	0.33
"B"	17	60	210	0.042	0.499
"B"	18	60	180	0.028	0.314
"B"	19	60	150	0.027	0.402
"B"	20	60	120	0.021	0.428
"B"	21	60	90	0.037	0.421
"B"	22	60	60	0.022	0.308
"B"	23	60	30	0.036	0.345
"B"	24	60	0	0.034	0.345
"B"	25	90	210	0.041	0.524
"B"	26	90	180	0.029	0.377
"B"	27	90	150	0.025	0.382
"B"	28	90	120	0.029	0.45
"B"	29	90	90	0.034	0.453
"B"	30	90	60	0.026	0.292
"B"	31	90	30	0.027	0.345
"B"	32	90	0	0.031	0.45
"B"	33	120	210	0.042	0.507
"B"	34	120	180	0.027	0.314
"B"	35	120	150	0.026	0.341
"B"	36	120	120	0.028	0.252
"B"	37	120	90	0.035	0.319
"B"	38	120	60	0.027	0.346
"B"	39	120	30	0.026	0.368
"B"	40	120	0	0.031	0.524
"B"	41	150	210	0.052	0.45
"B"	42	150	180	0.03	0.314
"B"	43	150	150	0.031	0.396
"B"	44	150	120	0.028	0.381
"B"	45	150	90	0.032	0.502
"B"	46	150	60	0.029	0.404
"B"	47	150	30	0.03	0.48
"B"	48	150	0	0.032	0.382
"B"	49	180	210	0.046	0.426
"B"	50	180	180	0.031	0.718
"B"	51	180	150	0.033	0.456
"B"	52	180	120	0.032	0.488
"B"	53	180	90	0.034	0.443
"B"	54	180	60	0.033	0.45
"B"	55	180	30	0.034	0.516
"B"	56	180	0	0.033	0.352
"B"	57	210	210	0.052	0.742
"B"	58	210	180	0.034	0.461
"B"	59	210	150	0.031	0.475
"B"	60	210	120	0.031	0.534
"B"	61	210	90	0.031	0.42
"B"	62	210	60	0.032	0.458
"B"	63	210	30	0.032	0.466
"B"	64	210	0	0.034	0.45
"B"	65	240	210	0.045	0.647
"B"	66	240	180	0.028	0.384
"B"	67	240	150	0.03	0.48
"B"	68	240	120	0.031	0.362
"B"	69	240	90	0.035	0.498
"B"	70	240	60	0.033	0.407
"B"	71	240	30	0.039	0.577
"B"	72	240	0	0.031	0.431
"B"	73	270	210	0.061	0.947
"B"	74	270	180	0.04	0.589
"B"	75	270	150	0.041	0.612
"B"	76	270	120	0.04	0.636
"B"	77	270	90	0.063	0.75
"B"	78	270	60	0.036	0.478
"B"	79	270	30	0.04	0.587
"B"	80	270	0	0.035	0.516
"B"	81	45	180	0.029	0.368
"B"	82	45	165	0.025	0.361
"B"	83	45	150	0.022	0.329
"B"	84	225	180	0.035	0.409
"B"	85	225	165	0.032	0.558
"B"	86	225	150	0.03	0.384
"B"	87	225	60	0.036	0.38
"B"	88	225	45	0.032	0.497
"B"	89	225	30	0.033	0.436
"B"	90	45	60	0.024	0.312
"B"	91	45	45	0.033	0.396
"B"	92	45	30	0.028	0.366
"B"	93	140	120	0.027	0.407
"B"	94	140	105	0.026	0.338
"B"	95	140	90	0.029	0.314
"B"	96	130	120	0.027	0.36
"B"	97	130	105	0.029	0.396
"B"	98	130	90	0.037	0.435
"B"	99	120	105	0.029	0.382
"B"	100	150	105	0.029	0.347
