Posicion	Hibrido	Rendimiento	Tes	Hib	Dif	PRED_Dif
1	Testigo	896	896	886	-10	75.0380434782608
2	H1	886	NA	NA	NA	64.5597826086956
3	H2	1037	NA	NA	NA	54.0815217391304
4	Testigo	1101	1101	1037	-64	43.6032608695652
5	Testigo	1055	1055	1222	167	33.125
6	H3	1222	NA	NA	NA	22.6467391304348
7	H4	1230	NA	NA	NA	12.1684782608695
8	Testigo	1093	1093	1230	137	1.69021739130434
9	Testigo	1093	1093	1099	6	-8.78804347826087
10	H5	1099	NA	NA	NA	-19.2663043478261
11	H6	907	NA	NA	NA	-29.7445652173913
12	Testigo	1000	1000	907	-93	-40.2228260869565
13	Testigo	1119	1119	966	-153	-50.7010869565217
14	H7	966	NA	NA	NA	-61.179347826087
15	H8	975	NA	NA	NA	-71.6576086956522
16	Testigo	1156	1156	975	-181	-82.1358695652174
17	Testigo	1042	1042	1063	21	-92.6141304347826
18	H9	1063	NA	NA	NA	-103.092391304348
19	H10	1168	NA	NA	NA	-113.570652173913
20	Testigo	1160	1160	1168	8	-124.048913043478
21	Testigo	1124	1124	1116	-8	-134.527173913043
22	H11	1116	NA	NA	NA	-145.005434782609
23	H12	1033	NA	NA	NA	-155.483695652174
24	Testigo	1173	1173	1033	-140	-165.961956521739
25	Testigo	1291	1291	876	-415	-176.440217391304
26	H13	876	NA	NA	NA	-186.91847826087
27	H14	1193	NA	NA	NA	-197.396739130435
28	Testigo	1211	1211	1193	-18	-207.875
29	Testigo	1291	1291	756	-535	-218.353260869565
30	H15	756	NA	NA	NA	-228.83152173913
31	H16	928	NA	NA	NA	-239.309782608696
32	Testigo	1048	1048	928	-120	-249.788043478261
