Genotipo	Columna1	Bloque_vis	Bloque	Fila	Rendimiento
G01	1	1	1	1	3,37917
G02	2	1	1	2	3,58748
G03	3	1	1	3	4,32812
G04	4	1	1	4	4,53642
G05	5	1	1	5	2,59224
G06	6	1	1	6	2,40708
G07	7	1	1	7	2,63853
G08	8	1	1	8	4,00409
G09	9	1	1	9	4,35126
G10	10	1	1	10	3,98094
G11	11	1	1	11	2,7774
G12	12	1	1	12	2,96256
G13	13	1	1	13	2,26821
G14	14	1	1	14	3,10143
G15	15	1	1	15	2,49966
G16	16	1	1	16	2,63853
G17	17	1	1	17	3,19401
G18	18	1	1	18	3,00885
G19	19	1	1	19	2,63853
G20	20	1	1	20	3,42546
G21	21	1	1	21	1,8516
G22	22	1	1	22	2,40708
G23	23	1	1	23	1,80531
G24	24	1	1	24	1,80531
G25	25	1	1	25	1,8516
G26	26	1	1	26	1,8516
G27	27	1	1	27	1,80531
G28	28	1	1	28	1,34241
G29	29	1	1	29	1,75902
G30	30	1	1	30	2,03676
G31	31	1	1	31	2,22192
G32	32	1	1	32	2,12934
G33	33	1	1	33	1,8516
G34	34	1	1	34	2,17563
G35	35	1	1	35	2,03676
G36	36	1	1	36	1,06467
G37	37	1	1	37	2,26821
G38	38	1	1	38	2,45337
G39	39	1	1	39	2,82369
G40	40	1	1	40	3,19401
G41	41	1	1	41	3,56433
G42	42	1	1	42	3,28659
G43	43	1	1	43	2,03676
G44	44	1	1	44	2,59224
G45	45	1	1	45	1,57386
G46	46	1	1	46	1,34241
G47	47	1	1	47	1,71273
G48	48	1	1	48	1,8516
G49	49	1	1	49	1,80531
G50	50	1	1	50	3,10143
G18	18	2	2	1	3,4949
G20	20	2	2	2	4,69844
G44	44	2	2	3	3,28659
G26	26	2	2	4	3,65691
G21	21	2	2	5	2,82369
G15	15	2	2	6	3,47175
G17	17	2	2	7	4,49013
G39	39	2	2	8	3,42546
G41	41	2	2	9	2,86998
G32	32	2	2	10	3,42546
G08	8	2	2	11	2,45337
G12	12	2	2	12	3,65691
G24	24	2	2	13	2,68482
G23	23	2	2	14	1,89789
G47	47	2	2	15	2,7774
G29	29	2	2	16	1,89789
G37	37	2	2	17	2,26821
G25	25	2	2	18	2,59224
G50	50	2	2	19	2,96256
G46	46	2	2	20	1,80531
G33	33	2	2	21	1,8516
G34	34	2	2	22	1,99047
G42	42	2	2	23	2,96256
G49	49	2	2	24	1,75902
G06	6	2	2	25	2,03676
G13	13	2	2	26	2,63853
G03	3	2	2	27	2,45337
G27	27	2	2	28	2,17563
G28	28	2	2	29	1,66644
G04	4	2	2	30	2,96256
G09	9	2	2	31	2,91627
G05	5	2	2	32	2,45337
G07	7	2	2	33	1,80531
G35	35	2	2	34	2,12934
G19	19	2	2	35	1,62015
G10	10	2	2	36	2,03676
G11	11	2	2	37	2,82369
G01	1	2	2	38	1,89789
G36	36	2	2	39	1,11096
G31	31	2	2	40	1,48128
G02	2	2	2	41	2,26821
G38	38	2	2	42	1,43499
G14	14	2	2	43	2,08305
G43	43	2	2	44	2,08305
G40	40	2	2	45	2,59224
G48	48	2	2	46	1,52757
G22	22	2	2	47	2,17563
G45	45	2	2	48	1,75902
G30	30	2	2	49	1,34241
G16	16	2	2	50	2,12934
G14	14	3	3	1	3,00885
G16	16	3	3	2	3,91151
G28	28	3	3	3	2,3145
G32	32	3	3	4	4,32812
G06	6	3	3	5	3,14772
G11	11	3	3	6	4,1661
G31	31	3	3	7	3,63377
G43	43	3	3	8	3,07829
G01	1	3	3	9	4,92989
G36	36	3	3	10	2,22192
G18	18	3	3	11	2,68482
G46	46	3	3	12	2,12934
G07	7	3	3	13	2,36079
G29	29	3	3	14	2,59224
G02	2	3	3	15	3,42546
G21	21	3	3	16	2,3145
G45	45	3	3	17	1,89789
G23	23	3	3	18	1,8516
G17	17	3	3	19	3,14772
G25	25	3	3	20	2,3145
G47	47	3	3	21	2,17563
G34	34	3	3	22	2,17563
G03	3	3	3	23	2,36079
G24	24	3	3	24	1,75902
G20	20	3	3	25	1,66644
G27	27	3	3	26	1,43499
G22	22	3	3	27	2,45337
G42	42	3	3	28	2,45337
G04	4	3	3	29	3,19401
G19	19	3	3	30	1,99047
G30	30	3	3	31	1,43499
G05	5	3	3	32	1,8516
G15	15	3	3	33	1,71273
G49	49	3	3	34	1,80531
G44	44	3	3	35	1,80531
G50	50	3	3	36	1,94418
G10	10	3	3	37	1,75902
G26	26	3	3	38	1,75902
G09	9	3	3	39	2,40708
G13	13	3	3	40	1,8516
G35	35	3	3	41	1,80531
G38	38	3	3	42	1,48128
G41	41	3	3	43	1,57386
G40	40	3	3	44	1,80531
G37	37	3	3	45	1,59701
G33	33	3	3	46	1,43499
G12	12	3	3	47	2,49966
G08	8	3	3	48	1,80531
G48	48	3	3	49	1,99047
G39	39	3	3	50	1,66644
