Alt,Rto09,Rto11,Rto13,NDVI17,xcoord,ycoord
499.070550,2910.985869,3781.808115,1946.500000,0.607101,316617.31961323,6276679.54552307
499.141100,2809.769747,3663.964885,2322.714286,0.798208,316617.31961323,6276669.54552307
499.235200,2996.661021,3616.281317,2695.714286,0.813554,316617.31961323,6276659.54552307
499.333200,3311.916134,3738.930792,2965.666667,0.797570,316617.31961323,6276649.54552307
499.409400,3072.328459,3819.251633,3052.750000,0.871051,316617.31961323,6276639.54552307
499.577750,3160.802835,3915.985012,2929.181818,0.861823,316617.31961323,6276629.54552307
499.802700,3154.068586,3812.794686,3280.400000,0.864722,316617.31961323,6276619.54552307
499.934000,3002.322688,3470.716350,3142.500000,0.832878,316617.31961323,6276609.54552307
500.045900,3095.269236,2959.294548,2880.000000,0.834092,316617.31961323,6276599.54552307
500.138400,3338.555284,3352.790198,2848.833333,0.839815,316617.31961323,6276589.54552307
500.227300,3187.290863,3346.112096,3183.166667,0.845342,316617.31961323,6276579.54552307
500.510450,3118.532029,3342.676580,3185.600000,0.840726,316617.31961323,6276569.54552307
500.786600,3298.324752,3292.123154,2876.500000,0.829124,316617.31961323,6276559.54552307
500.956500,2738.721951,4262.814814,2911.000000,0.827172,316617.31961323,6276549.54552307
501.101600,3042.863901,4376.844617,2772.666667,0.836260,316617.31961323,6276539.54552307
501.213100,3107.644325,4629.672000,3083.800000,0.832340,316617.31961323,6276529.54552307
501.469700,2885.152976,4309.151721,2774.000000,0.766362,316617.31961323,6276519.54552307
501.662000,3093.280416,3719.945846,2484.600000,0.735640,316617.31961323,6276509.54552307
501.787500,2930.799289,4143.792710,3043.500000,0.732788,316617.31961323,6276499.54552307
502.030300,2907.212000,4074.394473,3181.200000,0.740640,316617.31961323,6276489.54552307
502.258800,2931.990242,4177.484777,3138.400000,0.719854,316617.31961323,6276479.54552307
502.571650,2837.444317,4238.191576,3318.166667,0.667883,316617.31961323,6276469.54552307
502.870100,2526.382946,3902.703820,3179.600000,0.647015,316617.31961323,6276459.54552307
503.068200,2672.774786,3363.512120,3139.166667,0.675377,316617.31961323,6276449.54552307
503.258000,2802.461092,3585.280655,3387.200000,0.592214,316617.31961323,6276439.54552307
503.416500,2528.679044,3476.350921,2943.000000,0.434833,316617.31961323,6276429.54552307
503.639500,2693.986044,3982.514958,3046.600000,0.447724,316617.31961323,6276419.54552307
503.868200,2519.164645,3489.698994,3051.000000,0.528263,316617.31961323,6276409.54552307
504.023900,2660.511328,3642.753803,3125.000000,0.626581,316617.31961323,6276399.54552307
504.176200,2652.143075,4037.415830,2882.600000,0.638481,316617.31961323,6276389.54552307
504.313200,2694.697000,4402.860365,2846.000000,0.607357,316617.31961323,6276379.54552307
504.416400,2662.616891,4220.891573,3356.400000,0.583513,316617.31961323,6276369.54552307
504.542850,2642.933439,3578.085348,3361.200000,0.539280,316617.31961323,6276359.54552307
504.640500,2918.845590,3878.525043,3791.500000,0.539402,316617.31961323,6276349.54552307
504.692800,2822.971072,3235.081546,3471.200000,0.556540,316617.31961323,6276339.54552307
504.738300,2784.766092,3473.526221,3777.500000,0.519286,316617.31961323,6276329.54552307
504.761000,2517.939840,4610.813632,3533.400000,0.451018,316617.31961323,6276319.54552307
504.786400,2762.797621,4593.122481,3752.666667,0.524763,316617.31961323,6276309.54552307
504.819900,2758.057919,4519.839111,3434.166667,0.617289,316617.31961323,6276299.54552307
504.838400,2957.117763,4646.116957,3370.833333,0.625471,316617.31961323,6276289.54552307
504.834500,2940.915596,4342.751335,3407.571429,0.622347,316617.31961323,6276279.54552307
504.783700,2740.536951,4379.601415,3219.833333,0.624572,316617.31961323,6276269.54552307
504.635800,2759.112364,4001.156880,2883.857143,0.637133,316617.31961323,6276259.54552307
504.396600,2580.551488,4059.676950,2881.166667,0.626451,316617.31961323,6276249.54552307
499.235600,3093.684167,3349.588858,2674.692308,0.723857,316627.31961323,6276679.54552307
499.287600,3736.908634,2697.100265,1944.500000,0.800625,316627.31961323,6276669.54552307
499.346700,3703.210605,4049.703558,3013.833333,0.852611,316627.31961323,6276659.54552307
499.413950,3841.945079,3465.327159,2802.800000,0.869929,316627.31961323,6276649.54552307
499.482450,3816.459781,3872.955591,2780.500000,0.871051,316627.31961323,6276639.54552307
499.639775,4001.689493,3605.051235,3070.666667,0.861823,316627.31961323,6276629.54552307
499.862600,3534.196975,3469.136527,2894.666667,0.864722,316627.31961323,6276619.54552307
500.004950,3670.158607,3338.559135,2815.083333,0.874021,316627.31961323,6276609.54552307
500.134050,3674.885825,2995.115825,2856.000000,0.879936,316627.31961323,6276599.54552307
500.250650,3525.129718,3875.796406,3071.100000,0.875903,316627.31961323,6276589.54552307
500.364500,3544.481086,3799.577673,2639.142857,0.863859,316627.31961323,6276579.54552307
500.595075,3208.813303,3346.799640,2865.333333,0.864220,316627.31961323,6276569.54552307
500.838600,3227.201744,2795.010182,2542.833333,0.868484,316627.31961323,6276559.54552307
500.994200,3329.472722,3242.313748,2631.333333,0.866471,316627.31961323,6276549.54552307
501.138850,3291.675235,3569.733289,2517.833333,0.866035,316627.31961323,6276539.54552307
501.278850,3181.394902,3762.320727,2649.833333,0.866688,316627.31961323,6276529.54552307
501.521200,3289.358928,3109.847992,2562.857143,0.866697,316627.31961323,6276519.54552307
501.757800,3386.777185,2602.934545,2647.142857,0.866921,316627.31961323,6276509.54552307
501.930650,3564.487104,2713.628775,2610.666667,0.863574,316627.31961323,6276499.54552307
502.145750,3294.964414,3418.263045,2972.200000,0.859033,316627.31961323,6276489.54552307
502.340350,3297.726674,3294.911879,2964.333333,0.860692,316627.31961323,6276479.54552307
502.619725,3217.036860,3014.486252,3392.666667,0.865479,316627.31961323,6276469.54552307
502.893750,3047.667277,2446.477139,2814.333333,0.862227,316627.31961323,6276459.54552307
503.076050,3268.488814,2669.285983,2364.400000,0.857746,316627.31961323,6276449.54552307
503.257400,2863.669072,3258.734812,2746.833333,0.834092,316627.31961323,6276439.54552307
503.435750,2793.155981,3065.899384,2872.600000,0.812588,316627.31961323,6276429.54552307
503.698975,2963.380046,3203.776518,2735.000000,0.817820,316627.31961323,6276419.54552307
503.959350,2908.247267,2705.480278,2664.666667,0.831073,316627.31961323,6276409.54552307
504.127300,2919.576614,2886.039573,2507.600000,0.835859,316627.31961323,6276399.54552307
504.283800,2768.915313,2983.066227,2598.166667,0.824048,316627.31961323,6276389.54552307
504.419500,2718.883550,2966.657674,2653.000000,0.843848,316627.31961323,6276379.54552307
504.531600,2567.825155,3042.771707,2681.166667,0.864667,316627.31961323,6276369.54552307
504.663000,2596.681357,2787.918973,3210.000000,0.875792,316627.31961323,6276359.54552307
504.760250,2732.035570,3053.668276,3202.200000,0.864572,316627.31961323,6276349.54552307
504.803950,2652.270248,2829.996241,3293.666667,0.840111,316627.31961323,6276339.54552307
504.838350,2511.712569,3056.185249,3129.800000,0.839365,316627.31961323,6276329.54552307
504.896100,2957.476209,3175.657076,3092.333333,0.864419,316627.31961323,6276319.54552307
504.964175,2923.384944,2896.671182,2422.000000,0.856311,316627.31961323,6276309.54552307
505.022450,2955.918381,2932.349035,2271.600000,0.817863,316627.31961323,6276299.54552307
505.044800,2607.450708,3004.928252,2197.000000,0.820472,316627.31961323,6276289.54552307
505.040850,2667.985353,3363.105255,2133.333333,0.840979,316627.31961323,6276279.54552307
505.003300,2558.148048,3446.344307,2300.000000,0.839384,316627.31961323,6276269.54552307
504.885225,2694.604825,2791.010467,2369.166667,0.812702,316627.31961323,6276259.54552307
